source_id,title,url,publisher,source_type,publication_date,sector_tags,priority,expected_format,status,notes
fca-conc-main,CONC Consumer Credit sourcebook,https://www.handbook.fca.org.uk/handbook/CONC/,Financial Conduct Authority,handbook_sourcebook,,consumer_credit;consumer_lending,high,html,planned,Core consumer-credit rule source
fca-conc-pdf,CONC Consumer Credit sourcebook PDF,https://api-handbook.fca.org.uk/files/sourcebook/CONC.pdf,Financial Conduct Authority,handbook_sourcebook,,consumer_credit;consumer_lending,high,pdf,planned,Use later to test PDF extraction and page provenance
fca-cp26-15,CP26/15 Reviewing the financial promotions rules for consumer credit,https://www.fca.org.uk/publications/consultation-papers/cp26-15-reviewing-financial-promotions-rules-consumer-credit,Financial Conduct Authority,consultation_paper,,consumer_credit;financial_promotions,high,html,planned,Proposal only; must never be represented as final rules
fca-ps26-1,PS26/1 Regulation of Deferred Payment Credit,https://www.fca.org.uk/publication/policy/ps26-1.pdf,Financial Conduct Authority,policy_statement,,consumer_credit;bnpl,high,pdf,planned,Policy statement source
fca-ps24-2,PS24/2 Consumer credit and mortgages,https://www.fca.org.uk/publication/policy/ps24-2.pdf,Financial Conduct Authority,policy_statement,,consumer_credit;mortgages,high,pdf,planned,Historical policy statement for version and status tests
fca-consumer-finance-priorities,Regulatory Priorities Consumer Finance,https://www.fca.org.uk/publication/regulatory-priorities/consumer-finance-report.pdf,Financial Conduct Authority,regulatory_priorities,,consumer_credit;consumer_finance,high,pdf,planned,Useful for relevance classification
fca-publications,FCA publications,https://www.fca.org.uk/publications,Financial Conduct Authority,publication_index,,consumer_credit,medium,html,planned,Discovery page only; do not use as primary answer evidence
fca-news,FCA news,https://www.fca.org.uk/news,Financial Conduct Authority,news_index,,consumer_credit,medium,html,planned,Discovery page only
fca-what-we-publish,What we publish,https://www.fca.org.uk/what-we-publish,Financial Conduct Authority,methodology,,consumer_credit,low,html,planned,Use to define source-type taxonomy
fca-newsletters,FCA newsletters and email alerts,https://www.fca.org.uk/newsletters-emails-sign-up,Financial Conduct Authority,methodology,,consumer_credit,low,html,planned,Potential later scheduled-ingestion route
fca-home,FCA home,https://www.fca.org.uk/,Financial Conduct Authority,other,,consumer_credit,low,html,planned,Allow-list and publisher validation reference
fca-bnpl-press-release,New protections confirmed for Buy Now Pay Later borrowers,https://www.fca.org.uk/news/press-releases/new-protections-confirmed-buy-now-pay-later-borrowers,Financial Conduct Authority,press_release,,consumer_credit;bnpl,high,html,planned,Useful for separating press releases from formal legal sources
fca-handbook-home,FCA Handbook,https://www.handbook.fca.org.uk/,Financial Conduct Authority,handbook_index,,consumer_credit,medium,html,planned,Handbook navigation source
fca-handbook-conc-1,CONC 1 Application and purpose,https://www.handbook.fca.org.uk/handbook/CONC/1/,Financial Conduct Authority,handbook_section,,consumer_credit,high,html,planned,Initial HTML rule section
fca-handbook-conc-2,CONC 2 Conduct of business standards,https://www.handbook.fca.org.uk/handbook/CONC/2/,Financial Conduct Authority,handbook_section,,consumer_credit,high,html,planned,Initial HTML rule section
fca-handbook-conc-3,CONC 3 Financial promotions and communications with customers,https://www.handbook.fca.org.uk/handbook/CONC/3/,Financial Conduct Authority,handbook_section,,consumer_credit;financial_promotions,high,html,planned,Core section for CP26/15 evaluation
fca-handbook-conc-4,CONC 4 Pre-contractual disclosure,https://www.handbook.fca.org.uk/handbook/CONC/4/,Financial Conduct Authority,handbook_section,,consumer_credit,high,html,planned,Core disclosure section
fca-handbook-conc-5,CONC 5 Responsible lending,https://www.handbook.fca.org.uk/handbook/CONC/5/,Financial Conduct Authority,handbook_section,,consumer_credit;responsible_lending,high,html,planned,Core lending section
fca-handbook-conc-6,CONC 6 Post-contractual requirements,https://www.handbook.fca.org.uk/handbook/CONC/6/,Financial Conduct Authority,handbook_section,,consumer_credit,high,html,planned,Core servicing section
fca-handbook-conc-7,CONC 7 Arrears default and recovery,https://www.handbook.fca.org.uk/handbook/CONC/7/,Financial Conduct Authority,handbook_section,,consumer_credit;arrears;collections,high,html,planned,Core collections section
fca-handbook-conc-8,CONC 8 Debt advice,https://www.handbook.fca.org.uk/handbook/CONC/8/,Financial Conduct Authority,handbook_section,,consumer_credit;debt_advice,medium,html,planned,Related consumer-credit section
fca-handbook-conc-9,CONC 9 Debt management firms,https://www.handbook.fca.org.uk/handbook/CONC/9/,Financial Conduct Authority,handbook_section,,consumer_credit;debt_management,medium,html,planned,Related consumer-credit section
fca-handbook-conc-10,CONC 10 Debt counselling firms,https://www.handbook.fca.org.uk/handbook/CONC/10/,Financial Conduct Authority,handbook_section,,consumer_credit;debt_counselling,medium,html,planned,Related consumer-credit section
fca-handbook-conc-11,CONC 11 Consumer credit reporting,https://www.handbook.fca.org.uk/handbook/CONC/11/,Financial Conduct Authority,handbook_section,,consumer_credit;reporting,high,html,planned,Important for reporting-related questions
fca-handbook-conc-13,CONC 13 Guidance on creditworthiness and affordability,https://www.handbook.fca.org.uk/handbook/CONC/13/,Financial Conduct Authority,guidance,,consumer_credit;creditworthiness;affordability,high,html,planned,Important guidance source
fca-handbook-sysc,FCA SYSC sourcebook,https://www.handbook.fca.org.uk/handbook/SYSC/,Financial Conduct Authority,handbook_sourcebook,,consumer_credit;governance,medium,html,planned,Relevant governance context
fca-handbook-sup,FCA SUP sourcebook,https://www.handbook.fca.org.uk/handbook/SUP/,Financial Conduct Authority,handbook_sourcebook,,consumer_credit;reporting,medium,html,planned,Relevant reporting context
fca-handbook-prin,FCA Principles for Businesses,https://www.handbook.fca.org.uk/handbook/PRIN/,Financial Conduct Authority,handbook_sourcebook,,consumer_credit;consumer_duty,medium,html,planned,High-level conduct context
fca-handbook-disp,FCA DISP Dispute Resolution sourcebook,https://www.handbook.fca.org.uk/handbook/DISP/,Financial Conduct Authority,handbook_sourcebook,,consumer_credit;complaints,medium,html,planned,Complaint-handling context
fca-handbook-smcr,FCA Senior Management Arrangements Systems and Controls,https://www.handbook.fca.org.uk/handbook/SYSC/22/,Financial Conduct Authority,handbook_section,,consumer_credit;governance,low,html,planned,Optional governance source
fca-handbook-rfccbs-loans,RFCCBS 6.2 Loans,https://handbook.fca.org.uk/handbook/RFCCBS/6/2.html,Financial Conduct Authority,handbook_section,,consumer_credit;loans,medium,html,planned,Loan-related handbook content
fca-register,FCA Financial Services Register,https://register.fca.org.uk/s/,Financial Conduct Authority,register,,consumer_credit,low,html,planned,Later optional firm validation use case
fca-authorisation-consumer-credit,Consumer credit authorisation,https://www.fca.org.uk/firms/consumer-credit,Financial Conduct Authority,guidance,,consumer_credit;authorisation,medium,html,planned,Potential user question source
fca-consumer-duty,Consumer Duty,https://www.fca.org.uk/firms/consumer-duty,Financial Conduct Authority,guidance,,consumer_credit;consumer_duty,high,html,planned,Important cross-cutting rules context
fca-financial-promotions,Financial promotions,https://www.fca.org.uk/firms/financial-promotions,Financial Conduct Authority,guidance,,consumer_credit;financial_promotions,high,html,planned,Important cross-cutting rules context
